l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
61.31405,-0.3152344,-1.3748003,64.38583,53.901005,-1.5593034,0.6346359,133.8306,51.906418,-0.7457093,2.38557,67.01985,19.08495,-2.3834546,-2.74191,104.3424,0.01768566218009282
90.699455,-1.6146979,0.68077487,236.9669,76.69158,-1.3454397,-2.157943,157.2292,34.137222,-1.5942698,2.2902732,87.52422,19.697613,-0.6128386,-1.8537205,23.51376,0.058056690973075656
48.575558,-0.6661334,-1.8188769,59.75732,38.665295,-1.3430499,1.2868412,79.1045,35.375755,-0.3169377,1.8590891,37.16742,26.414413,-2.1771283,-1.134889,117.9972,0.07871936504492129
107.92104,-0.6470699,0.11860987,131.3137,106.90055,-0.8130417,3.0739655,144.2229,25.259102,-0.41662183,-1.0924867,27.48315,12.373841,-1.9861436,2.9439254,45.93541,0.0233388012283109
115.30401,0.5527281,-2.7198222,133.3702,79.26585,-0.22411424,1.1788007,81.26484,66.76045,-0.26175922,-0.21912937,69.06069,15.10813,1.8799163,-0.86904484,50.65424,0.0360843360027418
59.622833,-0.06275576,-1.8478367,59.74028,46.969383,0.28587618,1.0833535,48.90179,41.827908,-0.9142603,2.7552905,60.56142,33.054165,-1.2190971,0.0027534734,60.81352,0.00916055899217577
49.608524,-0.7132923,1.9797144,62.77281,45.285908,-0.10594549,0.73999643,45.5403,42.759045,-0.4277576,-1.7302674,46.73101,34.539295,1.2072959,-1.7727253,62.92082,0.032725015348386316
105.80418,-0.6724348,-2.3404872,130.6399,71.43699,-0.9653262,1.2367537,107.3878,57.554813,-0.2234925,-0.034572788,58.99821,12.780006,0.9256321,2.1798732,18.65717,0.02833785438946052
61.454815,-0.55610967,0.09240999,71.20495,54.86478,0.051875778,-2.6621428,54.93862,46.790504,-0.97130996,2.0202498,70.65341,23.824167,1.636561,-1.2365658,63.51666,0.0051049740246280175
43.24899,0.011115263,-1.0022112,43.25166,40.095707,-1.0891515,2.3211718,66.32338,37.03464,2.34266,0.011336248,194.5237,33.65064,0.74166083,2.9412334,43.33768,0.01884840808560327
59.296364,0.76224613,-0.18059154,77.37291,55.91555,0.77428025,-2.4469109,73.53079,42.681023,2.265575,2.0681787,207.8658,10.233487,-0.7464033,1.0614712,13.21894,0.04525384724404261
51.767082,-0.35956872,0.32316098,55.14977,51.277565,-0.4044339,-3.0284712,55.5287,37.207134,0.01673799,-2.0937881,37.21235,29.72971,1.7982581,0.8124204,92.23205,0.043453263696792116
63.199074,1.4876177,2.1611629,147.0152,58.72424,1.1510546,-0.34763026,102.1164,31.90215,1.9450136,-1.5501199,113.8382,20.699062,-0.35885984,-3.1125622,22.04624,0.03803023894873647
56.25912,0.77594274,1.30758,74.06258,53.6128,0.6502778,-2.0763178,65.3533,36.38462,0.6072181,-1.7242118,43.30103,33.16315,1.4003965,1.0366032,71.35561,0.02978069117645062
62.06251,-0.28744438,0.6661304,64.64415,56.578068,1.6397161,-2.5009923,151.2824,31.628296,0.19766802,-2.3940375,32.24821,26.045069,0.5429072,0.70946115,29.97865,0.032258365735949694
57.685215,-0.8598641,-2.258705,80.35721,48.45508,0.8750291,-0.35244673,68.21979,46.092194,1.2101328,2.0545537,84.16637,24.046738,0.50220376,1.0199168,27.14341,0.013565898633746014
57.73922,-0.3662287,-1.4207585,61.65478,46.563766,-0.7777368,0.90011847,61.37071,36.018517,0.5051498,2.0238192,40.71261,24.78106,0.88724315,-2.6465464,35.19177,0.030082183630247197
68.48832,0.2088779,-1.1902448,69.98783,50.72005,-0.5590169,2.057695,58.8536,27.363014,0.8155884,1.6643065,36.97954,8.522835,1.8410958,-1.4712001,27.53764,0.04112534075393025
73.98935,1.8030989,-2.3706656,230.5956,68.84896,1.2958231,1.9675376,135.2081,53.31446,1.8536325,0.41264817,174.3284,45.40304,2.4423513,-0.82421046,263.0427,0.04668920946329158
92.96274,0.0040347073,-1.6089036,92.9635,77.81705,-0.41773075,1.0594653,84.70586,37.52162,-0.7969617,2.8470957,50.08171,14.206621,-1.3690851,1.4742781,29.73511,0.03409907835802844
47.281624,1.7603375,1.5869578,141.523,42.10236,0.6671107,-2.633283,51.82354,33.67823,-0.66730046,0.08909295,41.45892,30.04795,0.40580824,-1.4373219,32.55624,0.03522281030186894
